atoll,median_nbirds,lower_nbirds,upper_nbirds
Abaiang,7405,101,79707
Abariringa,9715,9715,9715
Abemama,7006,154,55694
Addu,2950,39,25710
Ahe,2521,55,16401
Ahunui,2231,1711,14803
Ailinginae,8226,7950,10317
Ailinglaplap,6225,132,47474
Ailuk,41038,1469,389632
Aldabra,47473,47473,47473
Alphonse,125,0,3646
Amanu,4360,87,29991
Anaa,2244,15,17811
Analtin,0,0,0
Ant,15638,15470,17916
Anuanuraro,2486,172,13079
Anuanurunga,4149,284,21541
Apataki,126187,708,2115491
Aranuka,38278,670,509425
Aratika,4217,245,20991
Ari,0,0,0
Arno,5822,156,45486
Arutua,2361,26,20526
Astove,83798,253,1228695
Atafu,61094,61070,61425
Aur,5805,191,40304
Awin,0,0,0
Bangaram,446,446,446
Beautemps-Beaupre,67561,696,941523
Bellona,104443,104443,104443
Beru,6744,149,49185
Bikar,57451,56629,65569
Bikini,43894,12680,460953
Birnie,32149,4903,394041
Bitra_Par,4,4,4
Bokaak,42297,41111,98220
Bramble_Haven,0,0,0
Budibudi,0,0,0
Butaritari,18164,4615,152821
Byramgore,1450,1450,1450
Caroline,1044527,1044527,1044527
Cherbaniani,9360,9360,9360
Chesterfield,629045,628996,630173
Chetlat,0,0,0
Clipperton,92892,92892,92892
Cocos,85226,83518,214423
Conflict,42,0,961
Cosmoledo,2370138,2370098,2371824
Diego_Garcia,22064,22064,22064
Ducie,678490,678490,678490
Eauripik,4748,22,43168
Ebon,5265,107,37782
Egmont,754,754,754
Egum,4838,4,75505
Elato,138,0,2168
Enderbury,427098,427098,427098
Eniwetok,26535,26535,26535
Erikub,6328,6132,8847
Etal,586,4,6321
Europa,3020434,3020434,3020434
Faadhippolhu,581,510,2158
Faaite,1310,1310,1310
Fakahina,4132,93,27302
Fakaofo,3587,725,18292
Fakarava,945,945,945
Fangatau,312,0,4150
Fangataufa,842,842,842
Faraulep,3917,97,29372
Farquhar,617728,617728,617728
Felidhu,0,0,0
French_Frigate_Shoals,360280,360280,360280
Funafuti,7017,4206,50728
Gaafaru,0,0,0
Glorioso,540600,540600,540600
Great_Chagos_Bank,194160,194160,194160
Haddhunmathi,0,0,0
Hao,7609,276,46429
Haraiki,533,533,533
Helen,93260,93260,93260
Hereheretui,4076,114,24352
Hikueru,3116,98,18633
Hiti,563,5,4654
Huon,61654,6340,1096558
Huvadhu,0,0,0
Ifalik,4139,70,34124
Ihavandhippolu,0,0,0
Jaluit,21296,3714,319773
Jemo,10038,5627,72609
Johnston,384544,384544,384544
Kademat,16360,16360,16360
Kalpeni,0,0,0
Kapingamarangi,6606,256,37811
Katiu,1339,14,10577
Kauehi,110661,106718,128348
Kaukura,5370,333,27555
Kavaratti,2,2,2
Kilinailau,18,0,1152
Kiltan,0,0,0
Kiritimati,1296590,1296590,1296590
Kolhumadulu,0,0,0
Kuop,0,0,0
Kure,102232,102232,102232
Kuria,18498,2503,302231
Kwajalein,3407,3114,7842
Lae,3841,115,24665
Lamotrek,2100,10,20944
Laualau,0,0,0
Laysan,1684970,1684970,1684970
Lib,3103,67,23234
Likiep,5843,247,33554
Liot,0,0,0
Lisianski,1562390,1562390,1562390
Long_Reef,0,0,0
Losap,1350,7,15090
Lukunor,2313,137,14333
Maalhosmadulu,0,0,0
Maiana,8692,166,79196
Majuro,7873,368,53890
Makemo,2514,29,21512
Makunudhoo,0,0,0
Malden,573740,573740,573740
Maloelap,6622,137,47870
Malum,0,0,0
Manihi,5196,170,35116
Manihiki,5007,336,25527
Manra,10970,10970,10970
Manuae,3814,98,26464
Manuhangi,193,193,193
Marakei,6124,107,53873
Maria,1515,1515,1515
Maria_Est,7251,758,35194
Marokau,1675,17,14028
Marutea_Nord,2374,84,14113
Marutea_Sud,61155,1027,765802
Mataiva,6068,754,25537
Matureivavao,18719,381,1023643
Maupihaa,547611,547611,547611
McKean,91852,91852,91852
Midway,1797636,1797636,1797636
Miladhunmadulu,0,0,0
Mili,9769,746,62012
Minicoy,0,0,0
Mokil,2113,34,15946
Morane,6261,2923,127130
Moruroa,10105,911,51278
Motu_One,2617,123,13601
Motutunga,810,11,6283
Mulaku,0,0,0
Murilo,3079,19,36689
Namoluk,2808,139,17198
Namonuito,9237,106,95276
Namorik,4104,83,31685
Namu,11354,476,69809
Nanumanga,1248,10,11219
Nanumea,1483,18,12871
Napuka,3339,22,25676
Nengonengo,7967,580,52772
Ngcheangel,3469,30,55089
Ngulu,10040,38,126146
Niau,2109,63,13065
Nihiru,2816,109,16780
Nikumaroro,2189,2189,2189
Nikunau,4832,61,35072
Ninigo,9659,185,113110
Niutao,3371,73,22855
Nomwin,163,0,2509
Nonouti,48072,1382,516646
North_Male,0,0,0
North_Nilandhe,0,0,0
Nuguria,13880,369,135641
Nui,1756,20,14514
Nukapu,1838,34,18434
Nukufetau,1526,18,13165
Nukulaelae,4321,153,28217
Nukumanu,16248,586,136427
Nukumbasanga,0,0,0
Nukunonu,44930,44930,44930
Nukuoro,4310,148,30373
Nukutepipi,3311,294,14384
Numa_Miombilou,815,815,815
Nupani,1317,1317,1317
Oeno,42419,31729,197609
Olimarao,2350,49,20749
Onotoa,38706,1362,354924
Ontong_Java,34726,672,312411
Oroluk,5358,309,30411
Orona,1207022,1207022,1207022
Pakin,1572,44,14061
Palmerston,3555,51,28923
Palmyra,910055,910055,910055
Paraoa,3259,688,20318
Pearl_and_Hermes,130180,130180,130180
Peremul_Par,140,140,140
Peros_Banhos,339152,339152,339152
Pinaki,1953,28,12511
Pingelap,2179,37,16997
Pinipel,0,0,0
Pukapuka,8362,570,43599
Puka-Puka,2710,39,21035
Pukarua,5801,303,33757
Pulap,2539,10,25383
Pulusuk,2729,37,24517
Puluwat,539,4,4386
Qelelevu,215025,214595,219052
Rakahanga,2526,90,14525
Rangiroa,127860,1364,2615672
Raraka,6628,6153,11986
Raroia,6691,350,36110
Rasdhoo,0,0,0
